county_name,household_median_income,poverty_rate,snap_rate,unemployment_rate,food_risk_score,risk_level,risk_quartile
"Crosby County",52188.00,20.4200,23.40,3.40,51.80,"Severe Risk",4
"Cass County",53813.00,17.2200,21.50,4.60,51.54,"Severe Risk",4
"Hale County",51897.00,19.4700,21.10,3.90,51.22,"Severe Risk",4
"Red River County",48491.00,15.1100,19.40,4.70,50.56,"Severe Risk",4
"Wilbarger County",54102.00,16.9900,25.10,3.50,50.45,"Severe Risk",4
"Camp County",58843.00,18.9500,21.90,4.20,50.38,"Severe Risk",4
"Live Oak County",57150.00,14.3900,22.00,5.00,50.29,"Severe Risk",4
"Morris County",58645.00,18.9800,15.80,5.50,50.28,"Severe Risk",4
"Nacogdoches County",53555.00,19.8400,18.60,4.20,50.26,"Severe Risk",4
"Frio County",66010.00,16.9000,24.50,4.70,50.25,"Severe Risk",4
"Throckmorton County",59216.00,25.5500,15.70,4.10,50.23,"Severe Risk",4
"Trinity County",52018.00,16.9100,16.70,5.10,50.16,"Severe Risk",4
"Menard County",53043.00,18.4000,20.10,3.90,49.57,"Severe Risk",4
"Floyd County",58462.00,18.9500,22.20,3.70,49.23,"Severe Risk",4
"Deaf Smith County",60799.00,17.2500,26.20,3.30,48.93,"Severe Risk",4
"Hall County",48459.00,16.4800,20.40,3.50,48.61,"Severe Risk",4
"El Paso County",59806.00,18.2900,21.00,4.00,48.53,"Severe Risk",4
"Webb County",63058.00,20.1700,19.10,4.20,48.21,"Severe Risk",4
"Cherokee County",61261.00,16.5700,22.30,4.00,47.87,"Severe Risk",4
"Bee County",57673.00,13.0300,22.40,4.40,47.78,"Severe Risk",4
"Limestone County",60573.00,16.0600,22.80,3.90,47.76,"Severe Risk",4
"Refugio County",60181.00,14.3900,19.90,4.80,47.52,"Severe Risk",4
"Coke County",43333.00,21.5400,15.50,2.60,47.47,"Severe Risk",4
"Eastland County",53549.00,15.3200,15.20,5.00,47.46,"Severe Risk",4
"Navarro County",63111.00,15.9200,20.30,4.60,47.39,"High Risk",3
"Collingsworth County",61280.00,22.1100,20.40,3.00,47.30,"High Risk",3
"Culberson County",58777.00,18.7000,22.00,3.10,47.11,"High Risk",3
"Titus County",58425.00,16.8400,20.40,3.80,47.00,"High Risk",3
"San Jacinto County",65364.00,17.4600,18.60,4.70,46.96,"High Risk",3
"Falls County",57247.00,12.5900,24.30,3.70,46.82,"High Risk",3
"Houston County",56531.00,13.0600,21.30,4.10,46.53,"High Risk",3
"DeWitt County",63730.00,15.7700,20.10,4.40,46.41,"High Risk",3
"Walker County",52324.00,13.8100,19.80,3.80,46.31,"High Risk",3
"Coleman County",49159.00,19.2800,14.40,3.30,45.75,"High Risk",3
"Karnes County",60214.00,14.8000,21.70,3.70,45.75,"High Risk",3
"Liberty County",68703.00,15.0200,18.30,5.20,45.73,"High Risk",3
"Polk County",62259.00,15.9800,17.20,4.60,45.65,"High Risk",3
"Baylor County",45370.00,21.4300,13.60,2.60,45.61,"High Risk",3
"Reeves County",64297.00,16.1200,23.50,3.30,45.49,"High Risk",3
"Lamar County",61880.00,18.3700,16.10,4.20,45.41,"High Risk",3
"McCulloch County",54043.00,15.1100,14.60,4.50,45.35,"High Risk",3
"Angelina County",60960.00,15.1500,18.80,4.20,45.34,"High Risk",3
"Pecos County",72750.00,18.8300,20.60,4.00,45.09,"High Risk",3
"Brazos County",58553.00,21.8000,15.70,3.10,45.08,"High Risk",3
"Garza County",46314.00,6.9800,17.50,4.80,44.96,"High Risk",3
"Bowie County",59803.00,15.1000,18.50,3.90,44.56,"High Risk",3
"Dickens County",49335.00,18.1400,14.60,3.10,44.51,"High Risk",3
"Lamb County",60760.00,15.0000,22.40,3.10,44.44,"High Risk",3
"Sabine County",66585.00,10.8700,15.40,6.10,44.36,"High Risk",3
"Harrison County",66103.00,14.7000,18.70,4.30,43.88,"High Risk",3
"Cottle County",59063.00,19.0400,22.40,1.80,43.73,"High Risk",3
"Nueces County",66897.00,17.0400,17.80,4.00,43.71,"High Risk",3
"Motley County",61154.00,18.2200,13.20,4.20,43.63,"High Risk",3
"Wharton County",66924.00,13.2900,20.50,4.20,43.62,"High Risk",3
"Haskell County",60653.00,15.7300,18.50,3.50,43.57,"High Risk",3
"Wheeler County",60167.00,15.3400,17.00,3.80,43.35,"High Risk",3
"Goliad County",59359.00,12.7400,15.60,4.60,43.31,"High Risk",3
"Knox County",56667.00,15.7300,19.10,2.90,43.30,"High Risk",3
"San Patricio County",69704.00,14.2300,18.40,4.60,43.27,"High Risk",3
"Anderson County",62068.00,14.0000,17.80,3.90,42.78,"High Risk",3
"Moore County",61762.00,17.6600,18.60,2.80,42.54,"High Risk",3
"Gonzales County",58672.00,15.3300,17.20,3.30,42.42,"High Risk",3
"Gregg County",66550.00,15.5400,15.60,4.30,42.29,"High Risk",3
"Stephens County",58008.00,13.7800,15.70,3.80,42.09,"High Risk",3
"Victoria County",70896.00,15.7200,18.70,3.90,42.07,"High Risk",3
"Henderson County",65179.00,13.8700,16.70,4.20,42.00,"High Risk",3
"Leon County",61449.00,15.7100,16.50,3.40,41.75,"High Risk",3
"Atascosa County",70770.00,14.8700,17.40,4.20,41.58,"High Risk",3
"Freestone County",59960.00,10.9800,15.80,4.40,41.55,"High Risk",3
"Scurry County",60039.00,10.4700,19.40,3.60,41.22,"High Risk",3
"Hamilton County",58219.00,15.5200,11.80,4.00,41.20,"High Risk",3
"Brown County",57470.00,14.4700,15.10,3.40,41.13,"High Risk",3
"Castro County",56776.00,19.0500,14.20,2.50,41.07,"High Risk",3
"Gray County",59614.00,14.5100,14.90,3.60,41.02,"High Risk",3
"Wood County",60300.00,11.3200,14.30,4.50,41.00,"High Risk",3
"Palo Pinto County",67674.00,15.7800,16.50,3.70,40.97,"High Risk",3
"Upton County",49167.00,15.7800,17.60,1.70,40.91,"High Risk",3
"Wichita County",63524.00,15.0500,15.80,3.60,40.88,"High Risk",3
"Jackson County",65414.00,13.6500,17.00,3.80,40.83,"High Risk",3
"McLennan County",66643.00,15.6500,16.40,3.60,40.81,"High Risk",3
"Harris County",74983.00,15.4200,16.90,4.30,40.75,"High Risk",3
"Hockley County",63140.00,12.5900,18.10,3.50,40.61,"High Risk",3
"Jack County",68079.00,10.5700,15.80,4.90,40.53,"High Risk",3
"Jones County",59464.00,9.7600,20.90,3.10,40.43,"High Risk",3
"Bell County",68865.00,13.5600,15.20,4.40,40.41,"High Risk",3
"Ector County",71536.00,15.3800,18.10,3.60,40.41,"High Risk",3
"Ward County",65952.00,14.7800,17.70,3.30,40.41,"High Risk",3
"Lynn County",73679.00,14.4100,22.50,3.00,40.32,"Moderate Risk",2
"Hill County",64591.00,13.5800,15.00,4.00,40.29,"Moderate Risk",2
"Upshur County",66208.00,11.6600,16.50,4.10,39.88,"Moderate Risk",2
"Grimes County",69803.00,11.8100,17.80,4.10,39.84,"Moderate Risk",2
"Lubbock County",64155.00,15.9600,15.20,3.20,39.75,"Moderate Risk",2
"Reagan County",57813.00,12.0000,13.30,3.90,39.72,"Moderate Risk",2
"Sutton County",78906.00,4.5900,22.80,5.40,39.72,"Moderate Risk",2
"Mitchell County",60550.00,11.7600,18.70,3.00,39.71,"Moderate Risk",2
"San Saba County",55819.00,9.4300,16.60,3.50,39.58,"Moderate Risk",2
"Aransas County",69466.00,13.4400,14.20,4.40,39.51,"Moderate Risk",2
"Bailey County",61420.00,11.6500,16.70,3.40,39.27,"Moderate Risk",2
"Panola County",64894.00,10.8400,14.90,4.30,39.25,"Moderate Risk",2
"Rusk County",68658.00,12.5800,15.00,4.10,38.83,"Moderate Risk",2
"Milam County",66141.00,12.3400,14.60,4.00,38.81,"Moderate Risk",2
"Comanche County",59635.00,15.4000,12.60,3.10,38.64,"Moderate Risk",2
"Waller County",80397.00,11.9200,16.20,5.00,38.60,"Moderate Risk",2
"Howard County",69649.00,13.1300,15.80,3.80,38.56,"Moderate Risk",2
"Yoakum County",84925.00,16.9100,19.80,3.50,38.56,"Moderate Risk",2
"Childress County",58654.00,12.2700,18.20,2.30,38.20,"Moderate Risk",2
"Erath County",65115.00,15.2300,14.70,3.00,38.11,"Moderate Risk",2
"Robertson County",72236.00,12.8400,16.00,3.90,38.09,"Moderate Risk",2
"Bexar County",72341.00,13.7200,15.10,3.90,38.05,"Moderate Risk",2
"Orange County",72104.00,12.2800,13.30,4.60,38.05,"Moderate Risk",2
"Montague County",64545.00,13.4200,12.80,3.70,37.90,"Moderate Risk",2
"Andrews County",72242.00,15.1800,16.70,3.10,37.73,"Moderate Risk",2
"Stonewall County",56875.00,14.8400,14.60,2.20,37.71,"Moderate Risk",2
"Delta County",66575.00,11.0300,14.20,4.00,37.58,"Moderate Risk",2
"Concho County",65795.00,7.7900,17.50,3.90,37.56,"Moderate Risk",2
"Caldwell County",69758.00,11.1200,17.90,3.40,37.43,"Moderate Risk",2
"Crane County",62212.00,10.6500,17.40,2.90,37.41,"Moderate Risk",2
"Colorado County",66377.00,10.2600,17.00,3.40,37.22,"Moderate Risk",2
"Oldham County",79900.00,20.3600,14.40,3.00,37.20,"Moderate Risk",2
"Ochiltree County",70183.00,12.4000,19.00,2.80,37.12,"Moderate Risk",2
"Hutchinson County",67228.00,13.5100,13.00,3.60,37.06,"Moderate Risk",2
"Kinney County",70000.00,7.5400,17.40,4.10,36.77,"Moderate Risk",2
"Young County",68010.00,16.1600,12.40,3.00,36.43,"Moderate Risk",2
"Madison County",74596.00,8.7200,17.70,4.00,36.18,"Moderate Risk",2
"Kimble County",69455.00,11.3800,15.10,3.50,36.16,"Moderate Risk",2
"Fannin County",72295.00,12.0100,15.20,3.60,36.15,"Moderate Risk",2
"Terrell County",44886.00,9.1200,8.20,3.20,36.03,"Moderate Risk",2
"Parmer County",69735.00,10.1000,20.00,2.60,35.82,"Moderate Risk",2
"Fisher County",65533.00,13.4100,12.70,3.10,35.81,"Moderate Risk",2
"Coryell County",71301.00,8.9000,13.20,4.50,35.73,"Moderate Risk",2
"Hunt County",71938.00,10.0700,14.50,4.00,35.70,"Moderate Risk",2
"Hardeman County",63333.00,11.1200,15.20,2.80,35.69,"Moderate Risk",2
"Lavaca County",63240.00,11.1600,13.30,3.20,35.67,"Moderate Risk",2
"Van Zandt County",69475.00,10.3900,14.00,3.80,35.67,"Moderate Risk",2
"Donley County",58750.00,6.9700,14.20,3.50,35.64,"Moderate Risk",2
"Dallas County",76547.00,13.5400,13.20,3.90,35.55,"Moderate Risk",2
"Foard County",61563.00,4.9800,21.20,2.60,35.52,"Moderate Risk",2
"Taylor County",67139.00,13.6800,12.60,3.10,35.49,"Moderate Risk",2
"Runnels County",62632.00,10.9400,13.90,2.90,35.21,"Moderate Risk",2
"Llano County",67530.00,11.4000,11.20,3.80,35.04,"Moderate Risk",2
"Dallam County",71500.00,11.0900,19.60,2.30,34.85,"Moderate Risk",2
"Bandera County",75813.00,12.7600,12.50,3.90,34.79,"Moderate Risk",2
"Hopkins County",70888.00,11.3200,14.60,3.20,34.53,"Moderate Risk",2
"Brewster County",56212.00,8.5400,14.30,2.50,34.50,"Moderate Risk",2
"Smith County",74192.00,10.7500,14.70,3.60,34.49,"Moderate Risk",2
"Winkler County",86900.00,15.8600,17.00,3.10,34.37,"Moderate Risk",2
"Hardin County",75808.00,11.7500,11.90,4.10,34.33,"Moderate Risk",2
"Lee County",76371.00,10.6000,15.90,3.50,34.29,"Moderate Risk",2
"Hemphill County",61563.00,6.3900,11.40,4.00,34.14,"Moderate Risk",2
"Medina County",78074.00,8.6500,16.30,3.90,33.99,"Moderate Risk",2
"Tom Green County",68370.00,10.5800,13.90,3.10,33.99,"Moderate Risk",2
"Bosque County",68914.00,8.9900,12.20,3.70,33.46,"Low Risk",1
"Rains County",65413.00,9.3600,9.70,3.80,33.32,"Low Risk",1
"Kerr County",69395.00,10.8000,12.60,3.20,33.30,"Low Risk",1
"Grayson County",72182.00,10.2000,11.50,3.80,33.19,"Low Risk",1
"Austin County",75789.00,10.9700,13.10,3.60,33.16,"Low Risk",1
"Sherman County",61250.00,8.4100,14.00,2.60,33.14,"Low Risk",1
"Hansford County",69441.00,8.7600,13.90,3.30,33.11,"Low Risk",1
"Cooke County",73932.00,12.9000,12.40,3.10,33.00,"Low Risk",1
"Borden County",65625.00,9.3500,7.20,4.10,32.50,"Low Risk",1
"Washington County",77825.00,11.9500,13.20,3.30,32.43,"Low Risk",1
"Burleson County",70000.00,11.5200,11.10,3.10,32.34,"Low Risk",1
"Schleicher County",86694.00,10.4200,14.70,4.10,32.33,"Low Risk",1
"Tarrant County",84207.00,10.5500,14.80,3.80,32.28,"Low Risk",1
"Lipscomb County",72560.00,11.1000,12.20,3.00,31.79,"Low Risk",1
"Gaines County",74132.00,6.2900,18.60,2.70,31.55,"Low Risk",1
"Irion County",70357.00,10.3900,8.70,3.60,31.41,"Low Risk",1
"Franklin County",72360.00,11.1600,10.30,3.20,31.24,"Low Risk",1
"Calhoun County",79959.00,7.6700,14.00,3.70,30.77,"Low Risk",1
"Lampasas County",81736.00,8.6700,13.20,3.80,30.70,"Low Risk",1
"Galveston County",86105.00,11.1000,10.40,4.20,30.43,"Low Risk",1
"Fayette County",75854.00,8.3300,11.20,3.50,29.91,"Low Risk",1
"Roberts County",67868.00,5.4200,9.40,3.80,29.91,"Low Risk",1
"Kaufman County",89485.00,7.9100,14.60,4.10,29.88,"Low Risk",1
"Callahan County",72436.00,9.3200,11.30,2.90,29.81,"Low Risk",1
"Crockett County",81022.00,9.3200,15.60,2.70,29.68,"Low Risk",1
"Kent County",72889.00,9.9400,8.90,3.30,29.68,"Low Risk",1
"Sterling County",64954.00,4.6000,9.50,3.60,29.66,"Low Risk",1
"Shackelford County",73047.00,9.3500,9.30,3.30,29.52,"Low Risk",1
"Archer County",72159.00,8.8500,9.20,3.30,29.37,"Low Risk",1
"Bastrop County",86226.00,8.8400,13.60,3.40,28.69,"Low Risk",1
"Mills County",67620.00,6.7900,9.50,3.00,28.60,"Low Risk",1
"Burnet County",78732.00,7.1900,11.00,3.50,28.27,"Low Risk",1
"Johnson County",84859.00,8.8200,11.80,3.40,27.88,"Low Risk",1
"Hays County",89097.00,10.3800,12.30,3.30,27.76,"Low Risk",1
"Somervell County",79825.00,6.9800,9.10,3.90,27.76,"Low Risk",1
"Mason County",74180.00,6.9200,9.30,3.30,27.64,"Low Risk",1
"Clay County",80114.00,8.0800,9.00,3.60,27.45,"Low Risk",1
"Wilson County",94565.00,10.5200,11.30,3.60,26.59,"Low Risk",1
"Guadalupe County",92375.00,8.4100,11.90,3.70,26.50,"Low Risk",1
"Hood County",88160.00,7.0600,10.10,4.00,26.48,"Low Risk",1
"Gillespie County",76162.00,8.7700,8.10,2.90,26.36,"Low Risk",1
"Hartley County",75841.00,7.3000,10.40,2.60,26.12,"Low Risk",1
"Midland County",92874.00,10.4600,11.90,2.90,25.36,"Low Risk",1
"Armstrong County",72750.00,4.9900,9.50,2.70,25.17,"Low Risk",1
"Brazoria County",97993.00,6.6600,10.30,4.50,25.13,"Low Risk",1
"Blanco County",92425.00,7.6400,10.90,3.50,24.76,"Low Risk",1
"Wise County",93421.00,7.8000,11.50,3.40,24.69,"Low Risk",1
"Chambers County",109804.00,10.5100,9.80,4.70,24.66,"Low Risk",1
"Ellis County",99595.00,6.0400,13.50,3.70,24.05,"Low Risk",1
"Montgomery County",97701.00,8.2200,9.20,4.00,24.05,"Low Risk",1
"Martin County",93734.00,8.1000,13.70,2.60,23.90,"Low Risk",1
"Randall County",83864.00,9.1400,7.30,2.80,23.69,"Low Risk",1
"Travis County",99611.00,10.2600,8.80,3.30,22.55,"Low Risk",1
"Carson County",85231.00,7.3200,7.20,2.90,22.37,"Low Risk",1
"Loving County",51250.00,3.8500,6.10,0.30,21.11,"Low Risk",1
"Comal County",101889.00,5.6500,9.10,3.60,20.02,"Low Risk",1
"Fort Bend County",114041.00,6.8900,9.00,4.20,19.19,"Low Risk",1
"Parker County",104443.00,7.0500,8.00,3.20,18.35,"Low Risk",1
"Denton County",111498.00,6.4000,7.60,3.60,16.92,"Low Risk",1
"Glasscock County",101250.00,8.4200,7.70,2.00,16.42,"Low Risk",1
"Williamson County",111340.00,5.7000,7.30,3.50,16.02,"Low Risk",1
"Collin County",121600.00,5.5500,6.60,3.80,13.55,"Low Risk",1
"Kendall County",114962.00,4.5100,6.20,3.30,12.97,"Low Risk",1
"Rockwall County",127981.00,3.5200,7.00,3.50,9.89,"Low Risk",1
